=== BOOT ===
[APP: synthui_led_button_test] [VER: v1] [BUILD: Sep 18 2026 16:58:32]
SYNTHUI_LED_BUTTON_BEGIN
PANEL_OK
led_button_scene=16 grid=4x4
LVGL_FLUSHED=PASS
LVGL_BYTES=3686400
led_button_crc=0xD474F06D
led_button_delta_crc=0x463C3371
led_button_fresh_crc=0x463C3371
led_button_delta_eq=PASS
led_button_damage max=6640 total=199924 steps=64 tail=6
led_button_damage_op lit=1450 press=6640 cue=900 color=1450
led_button_tasks_op lit=10 press=12 cue=23 color=10
led_button_vsync flips=73 isrs=73 timeouts=0
crc_done
PASS: SynthUI led_button render verified
led_button_fps frames=64 mfps_med=54141 us_med=18470 us_min=5838 us_max=70389
led_button_transition i=0 us=145986 sync_us=188 render_us=145596 wait_us=0 px=921600 sync_px=0 ev=52 inv=1 full=1 ticks=2
led_button_transition i=1 us=39078 sync_us=18797 render_us=20091 wait_us=0 px=6552 sync_px=921600 ev=8 inv=8 full=0 ticks=1
led_button_frame i=0 us=43593 sync_us=1829 render_us=41104 wait_us=1511 px=19376 sync_px=6552 ev=19 inv=19 full=0 ticks=1
led_button_frame i=1 us=15925 sync_us=845 render_us=14986 wait_us=0 px=6552 sync_px=19376 ev=8 inv=8 full=0 ticks=1
led_button_frame i=2 us=26257 sync_us=470 render_us=25744 wait_us=0 px=9828 sync_px=6552 ev=16 inv=12 full=0 ticks=2
led_button_frame i=3 us=60458 sync_us=1548 render_us=58843 wait_us=0 px=24348 sync_px=9828 ev=26 inv=22 full=0 ticks=2
led_button_frame i=4 us=15052 sync_us=1736 render_us=12419 wait_us=411 px=6552 sync_px=24348 ev=8 inv=8 full=0 ticks=1
led_button_frame i=5 us=32848 sync_us=535 render_us=32206 wait_us=0 px=20720 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=6 us=7620 sync_us=1030 render_us=6565 wait_us=0 px=7604 sync_px=20720 ev=8 inv=8 full=0 ticks=1
led_button_frame i=7 us=16963 sync_us=265 render_us=16581 wait_us=0 px=12704 sync_px=7604 ev=16 inv=12 full=0 ticks=2
led_button_frame i=8 us=43061 sync_us=621 render_us=42338 wait_us=0 px=22652 sync_px=12704 ev=27 inv=23 full=0 ticks=2
led_button_frame i=9 us=10272 sync_us=2777 render_us=7437 wait_us=2116 px=6552 sync_px=22652 ev=8 inv=8 full=0 ticks=1
led_button_frame i=10 us=55065 sync_us=432 render_us=54536 wait_us=0 px=24348 sync_px=6552 ev=26 inv=22 full=0 ticks=2
led_button_frame i=11 us=18470 sync_us=3455 render_us=14987 wait_us=2471 px=6552 sync_px=24348 ev=8 inv=8 full=0 ticks=1
led_button_frame i=12 us=16167 sync_us=296 render_us=15827 wait_us=0 px=9828 sync_px=6552 ev=16 inv=12 full=0 ticks=2
led_button_frame i=13 us=52237 sync_us=1114 render_us=51062 wait_us=0 px=26344 sync_px=9828 ev=27 inv=23 full=0 ticks=2
led_button_frame i=14 us=9348 sync_us=1256 render_us=8023 wait_us=0 px=6552 sync_px=26344 ev=8 inv=8 full=0 ticks=1
led_button_frame i=15 us=35846 sync_us=460 render_us=35264 wait_us=0 px=17028 sync_px=6552 ev=27 inv=23 full=0 ticks=2
led_button_frame i=16 us=13990 sync_us=4652 render_us=9305 wait_us=3503 px=7604 sync_px=17028 ev=8 inv=8 full=0 ticks=1
led_button_frame i=17 us=17109 sync_us=201 render_us=16871 wait_us=0 px=12704 sync_px=7604 ev=16 inv=12 full=0 ticks=2
